Codigo;Descricao;Tipo;Unidade;Familia;Desc.Familia;Pos.IPI/NCM;Descr.Espec.;Materia Pri.;IPI de Pauta;Observacao;Serie
000000000000121;PARAFUSO ALLEN CH INOX M5X16;PI;PC;0001;SEM CLASSIFICACAO;.  .;;;;;
000000000000122;PARAFUSO ALLEN CH INOX M6X30;PI;PC;0001;SEM CLASSIFICACAO;.  .;;;;;
000000000000123;PARAFUSO ALLEN CH INOX M8X25;PI;PC;0001;SEM CLASSIFICACAO;.  .;;;;;
000000000000124;PARAFUSO ALLEN CC INOX M8X25;PI;PC;0001;SEM CLASSIFICACAO;.  .;;;;;
000000000000125;PARAFUSO MAQ PA PH BC M5X30;PI;PC;0001;SEM CLASSIFICACAO;.  .;;;;;
000000000000126;EXTINTORES DE PO ABC 02KG;PA;PC;0001;SEM CLASSIFICACAO;.  .;;;;;
000000000000127;EXTINTOR CO2 4KG;PA;PC;0001;SEM CLASSIFICACAO;.  .;;;;;
000000000000128;FA TECFIL ARL5310/SPRINTER;PV;PC;0001;SEM CLASSIFICACAO;.  .;;;;;
000000000000129;FC TECFIL PSC499/310/312 SPRIN;PV;PC;0001;SEM CLASSIFICACAO;.  .;;;;;
000000000000130;ENCODER EN5990 NAO USAR ESTE;PA;PC;0001;SEM CLASSIFICACAO;8517.62.64;;;;NAO USAR ESTE DEU PROBLEMA;258487
000000000000131;ENCODER SE 4000 TIERNAN;PA;PC;0001;SEM CLASSIFICACAO;8543.89.99;;;;SAIU BETA MANUTENCAO 28/01/14;0800001029
000000000000132;LOCACAO DE DSNG;MO;DZ;0001;SEM CLASSIFICACAO;0101.10.10;;;;;
000000000000133;LOCACAO DE GERADOR;MO;UN;0001;SEM CLASSIFICACAO;.  .;;;;;
000000000000134;COMBUSTIVEL;MO;UN;0001;SEM CLASSIFICACAO;.  .;;;;;
000000000000135;HOSPEDAGEM;GG;UN;0001;SEM CLASSIFICACAO;.  .;;;;;
000000000000136;MODULDOR AZ110 NEWTEC;PA;UN;0001;SEM CLASSIFICACAO;8517.61.43;;;;SAIU C.36 CASSIO 21/03/17;40001847
000000000000137;MODULDOR AZ110 NEWTEC;PA;UN;0003;EQUIPAMENTOS DE TRANSMISSAO;8517.61.43;;;;ATUALIZAR 2022;40001845
000000000000138;BATENTE FIXACAO SPRINTER TR;PI;PC;0001;SEM CLASSIFICACAO;.  .;;;;;
000000000000139;BUCHA DE PLAST.FIXACAO TR SPRI;PI;PC;0001;SEM CLASSIFICACAO;.  .;;;;;
000000000000140;VALVULA ESFERA MICRO 1/4ST ST;MP;PC;0001;SEM CLASSIFICACAO;.  .;;;;;
000000000000141;ESPIGAO ROS.FIXO1/4X1/4 ESCAMA;MP;PC;0001;SEM CLASSIFICACAO;.  .;;;;;
000000000000142;VALVULA;PA;PC;0001;SEM CLASSIFICACAO;8708.99.90;;;;;
000000000000143;CONTADOR 12V;PA;PC;0001;SEM CLASSIFICACAO;8538.90.90;;;;;
000000000000144;RODOCALIBRADOR 2X2;PA;UN;0001;SEM CLASSIFICACAO;9026.20.90;;;;;
000000000000145;DISCO XDCAM;PA;UN;0001;SEM CLASSIFICACAO;.  .;;;;;
000000000000146;BRACO OSCILANTE;PA;UN;0001;SEM CLASSIFICACAO;8708.80.00;;;;;
000000000000147;MALA RIGIDA EXTRA GRD PB 2700F;PA;UN;0001;SEM CLASSIFICACAO;4202.12.10;;;;;
000000000000148;CONECTOR DE AUDIO XLR 3 MACHO;PA;PC;0001;SEM CLASSIFICACAO;8536.90.90;;;;;
000000000000149;CONECTOR DE AUDIO 3 FEMEA;PA;PC;0001;SEM CLASSIFICACAO;8536.90.90;;;;;
000000000000150;CONECTOR COAXIAL CRIMP TP BNC;PA;PC;0001;SEM CLASSIFICACAO;8536.90.90;;;;;
000000000000151;EXAUSTOR VENTISIL VA E 40M8;PA;PC;0001;SEM CLASSIFICACAO;8414.59.90;;;;;
000000000000152;GL12878 AMORTECEDOR TRASEIRO C;PA;PC;0001;SEM CLASSIFICACAO;8708.80.00;;;;;
000000000000153;GP32511 AMOTECEDOR DIANTEIRO C;PA;PC;0001;SEM CLASSIFICACAO;8708.80.00;;;;;
000000000000154;RELE 4152.9012.0010 12VCC;PA;PC;0001;SEM CLASSIFICACAO;8536.41.00;;;;;
000000000000155;TUBO 40X20X1.5 - SERR-;MP;MT;0001;SEM CLASSIFICACAO;7306.60.00;;;;;
000000000000156;TUBO 50X50X1.5;MP;MT;0001;SEM CLASSIFICACAO;7306.60.00;;;;;
000000000000157;TUBO 90X30X1.5;PI;BR;0001;SEM CLASSIFICACAO;7306.60.00;;;;;
000000000000158;FERRO CANT.SERRALHEIRO 3/4X1/8;PA;BR;0001;SEM CLASSIFICACAO;7216.21.00;;;;;
000000000000159;FERRO CANTONEIRA 1/2 X1/8;PA;BR;0001;SEM CLASSIFICACAO;7216.21.00;;;;;
000000000000160;LAMP.MISTA 250W 220W E27;PA;PC;0001;SEM CLASSIFICACAO;8539.39.00;;;;;
000000000000161;FN-100 PLUS PI-FECHAD ELETRICA;PA;PC;0001;SEM CLASSIFICACAO;.  .;;;;;
000000000000162;RIMULA X 15W40 BALDE DE 20 LT;PA;LT;0001;SEM CLASSIFICACAO;2710.19.32;;;;;
000000000000163;JUMPER COAXIAL SUPERFLEX;PA;UN;0001;SEM CLASSIFICACAO;8544.20.00;;;;SAIU CHILE LUCIANO 23/01/12;SEM SERIAL 4 PCA
000000000000164;JUMPER CABO FLEX 1/2 NM 3M;PA;UN;0001;SEM CLASSIFICACAO;8544.20.00;;;;;
000000000000165;CHAPA DE NYLON PRET 06X500X500;PA;PC;0001;SEM CLASSIFICACAO;3920.92.00;;;;;
000000000000166;CHAPA DE NYLON PRET 08X500X500;PA;PC;0001;SEM CLASSIFICACAO;3920.92.00;;;;;
000000000000167;CHAPA DE UHMW 25X500X500 MM;PA;PC;0001;SEM CLASSIFICACAO;3920.10.90;;;;;
000000000000168;RT-150 BIVOLT MINIVENTILADOR C;PA;PC;0001;SEM CLASSIFICACAO;8414.59.90;;;;;
000000000000169;CL MOBIL DELVAC MX 200LT;PA;PC;0001;SEM CLASSIFICACAO;2710.19.32;;;;;
000000000000170;MB ELEMENTO LUB SPRINTER CDI;PA;PC;0001;SEM CLASSIFICACAO;8421.99.10;;;;;
000000000000171;OM PANO;PA;PC;0001;SEM CLASSIFICACAO;6310.10.00;;;;;
Codigo;Descricao;Tipo;Unidade;Familia;Desc.Familia;Pos.IPI/NCM;Descr.Espec.;Materia Pri.;IPI de Pauta;Observacao;Serie
000000000000172;MB ARRUELA DE VEDACAO 14MMX20;PA;PC;0001;SEM CLASSIFICACAO;7415.21.00;;;;;
000000000000173;FN PASTILHAS TRAS SPRINTER CDI;PA;PC;0001;SEM CLASSIFICACAO;8708.39.00;;;;;
000000000000174;PROLONGADOR PEQ.;PA;PC;0001;SEM CLASSIFICACAO;7415.29.00;;;;;
000000000000175;CANO ALUM. 600MM;PA;PC;0001;SEM CLASSIFICACAO;7616.10.00;;;;;
000000000000176;FL ALUM DISCO 205MM;PA;PC;0001;SEM CLASSIFICACAO;7616.99.00;;;;;
000000000000177;PRIS. TR. VOLVO;PA;PC;0001;SEM CLASSIFICACAO;7318.12.00;;;;;
000000000000178;PATIM GUI LINEAR LAU15AL-K;PA;PC;0001;SEM CLASSIFICACAO;8482.80.00;;;;;
000000000000179;EZO-ROLAMENTO;PA;PC;0001;SEM CLASSIFICACAO;8482.10.10;;;;;
000000000000180;600 H ZZ ROLAMENTO;PA;PC;0001;SEM CLASSIFICACAO;8482.10.10;;;;;
000000000000181;6802ZZ ROL DE ESFERAS;PA;PC;0001;SEM CLASSIFICACAO;8482.10.10;;;;;
000000000000182;6903ZZ ROLAMENTO;PA;PC;0001;SEM CLASSIFICACAO;8482.10.10;;;;;
000000000000183;6900ZZ ROLAMENTO;PA;PC;0001;SEM CLASSIFICACAO;8482.10.10;;;;;
