FRAME DPS 475  LEITCH;DPS 475;BG475A0048;4156;;ALMOX-A3;10/08/2023;ALM A4 12/09/2021(INVT 08/2023);;
ENCODER KYRION CM5000E ATEME;KYRION CM5000E;2311-00534;8420;IMPORTAÇÃO;CASA.62;26/07/2023;INSTALADO C.62 26/07/2023 (PEDRO) INVT 26/07/2023);12/05/2023;DI: 23/0906295-1
DECODER KYRION DR5000 ATEME;KYRION DR5000;2250-12656;8434;RECIFE FLY 03 DAVID;CASA.62;26/07/2023;INSTALADO C.62 26/07/2023 (PEDRO) INVT 26/07/2023);12/05/2023;DI: 23/0906295-1
DECODER KYRION DR5000 ATEME;KYRION DR5000;2250-12659;8432;IMPORTAÇÃO;CASA.62;26/07/2023;INSTALADO C.62 26/07/2023 (PEDRO) INVT 26/07/2023);12/05/2023;DI: 23/0906295-1
FILTRO 5G SATÉLITE BANDA-C 3.70 A 4.20 GHz ZATECH;ZBPFC-3742;059;8593;NOVO;CASA.62;26/07/2023;INSTALADO C.62 26/07/2023 (PEDRO) INVT 26/07/2023);30/06/2023;NF: PROTOLOCO AGUARDANDO NOTA FISCAL ZAPI
FILTRO 5G SATÉLITE BANDA-C 3.70 A 4.20 GHz ZATECH;ZBPFC-3742;057;8590;NOVO;CASA.62;26/07/2023;INSTALADO C.62 26/07/2023 (PEDRO) INVT 26/07/2023);30/06/2023;NF: PROTOLOCO AGUARDANDO NOTA FISCAL ZAPI
UPCONVERTER U-9953-6  MITEQ;U-9953-6;1666266;8621;LABORATORIO ;ALMOX-F2;17/08/2023;ALM F2 26/07/2023 (V.LABORATORIO CASSIO);;
MODULDOR AZ110 NEWTEC;AZ110;40000463;8620;CASA.07;ALMOX-A3;10/08/2023;ALM A3 25/07/2023 (V.C.07 DODO) (INVT 08/2023);;
MONITOR PBM-317S  PLURA;PBM-317S;12APL173S0386;7089;CASA.28;DEFEITO -CONTEINER TECNICO;25/07/2023;DEFEITO CONTEINER TECNICO 25/07/2023 (V.C.28 KENNEDY);;
RECEP BE-IRD-5502PH TELAIRITY;BE-IRD-5502PH;PK09001210081;7081;PREDIO 197;ALMOX-A2;08/08/2023;ALM A2 25/07/2023 (V.PREDIO 197 WASHINGTON)(INVT 08/2023);;
RECEPTOR UC-IRD+ UPCOM;UC-IRD+;PK26D04120077;4591;ALMOX-A2;CASA.57;15/08/2023;SAIU C.57 15/08/2023 (LUCAS/CASSIO);;
RECEPTOR UC-IRD+ UPCOM;UC-IRD+;PK26D04120081;4590;PREDIO 197;ALMOX-A2;08/08/2023;ALM A2 25/07/2023 (V.PREDIO 197 WASHINGTON)(INVT 08/2023);;
RECEPTOR UC-IRD+ UPCOM;UC-IRD+;LAPK182190130;7004;PREDIO 197;ALMOX-A2;08/08/2023;ALM A2 25/07/2023 (V.PREDIO 197 WASHINGTON)(INVT 08/2023);;
RECEPTOR UC-IRD+ UPCOM;UC-IRD+;PK26D04120102;7008;PREDIO 197;FLY SEPARADA PERU 2023;31/07/2023;SEPARADA FLY PERU LABORATORIO 31/07/2023 (CASSIO);;
RECEPTOR UC-IRD+ UPCOM ;UC-IRD+;FB22000040287;7614;PREDIO 197;ALMOX-A2;16/08/2023;ALM A2 25/07/2023 (V.PREDIO 197 WASHINGTON);05/01/2023;VEIO F&F WORK
MATRIX SRM 2150 QUINTECH;LS162150;07341-0006;8348;PREDIO 197;PREDIO 197;24/07/2023;INSTALADO PREDIO 197 24/07/2023 (CHITAO);;
REMOTE XT NANO  EVS;XT NANO;R161020;0735;CASA.07;VILA MATILDE;24/07/2023;SAIU VILA MATILDE 24/07/2023 ;12/01/2023;VEIO KADUOKA VILA MATILDE
SLOW MOTION XT NANO EVS;XT NANO;A282720;0418;CASA.07;VILA MATILDE;24/07/2023;SAIU VILA MATILDE 24/07/2023 ;06/07/2020;
MODULADOR NS1000 NOVELSAT;NS1000;1008;7561;CONTEINER TECNICO;CASA.07;24/07/2023;INSTALADO C.07 24/07/2023 (DODO);14/04/2023;VEIO F&F WORK
NOBREAK 9PX6KI EATON;9PX6KI;G203N15057;8610;NOVO;PREDIO 197 (4° ANDAR);24/07/2023;;24/07/2023;DANFE 000013497 TELCABOS
NOBREAK 9PX6KI EATON;9PX6KI;G203N15060;8618;NOVO;PREDIO 197 (4° ANDAR);24/07/2023;;24/07/2023;DANFE 000013497 TELCABOS
NOBREAK 9PX6KI EATON;9PX6KI;G203N15063;8616;NOVO;PREDIO 197 (4° ANDAR);24/07/2023;;24/07/2023;DANFE 000013497 TELCABOS
NOBREAK 9PX6KI EATON;9PX6KI;G203N15104;8611;NOVO;PREDIO 197 (4° ANDAR);24/07/2023;;24/07/2023;DANFE 000013497 TELCABOS
